c,g1,g2,v
1,1,1018092,1
1,350,1414,MFLAFM_00005
1,1562,3004,MFLAFM_00010
1,3327,3794,MFLAFM_00015
1,3926,5242,MFLAFM_00020
1,5419,6105,MFLAFM_00025
1,6121,7308,MFLAFM_00030
1,7352,7867,MFLAFM_00035
1,8044,8304,MFLAFM_00040
1,8436,9806,MFLAFM_00045
1,10042,11010,MFLAFM_00050
1,11007,12038,MFLAFM_00055
1,12050,13033,MFLAFM_00060
1,13425,14495,MFLAFM_00065
1,14502,16259,MFLAFM_00070
1,16246,17439,MFLAFM_00075
1,17541,19517,MFLAFM_00080
1,19678,20187,MFLAFM_00085
1,20250,20489,MFLAFM_00090
1,20502,21038,MFLAFM_00095
1,21213,22775,MFLAFM_00100
1,23083,24090,MFLAFM_00105
1,24325,25329,MFLAFM_00110
1,25604,26473,MFLAFM_00115
1,26739,28151,MFLAFM_00120
1,28169,29881,MFLAFM_00125
1,29887,30198,MFLAFM_00130
1,30220,31200,MFLAFM_00135
1,31204,32136,MFLAFM_00140
1,32149,32664,MFLAFM_00145
1,32680,33108,MFLAFM_00150
1,33475,34230,MFLAFM_00155
1,34472,35212,MFLAFM_00160
1,35497,35700,MFLAFM_00165
1,35933,36781,MFLAFM_00170
1,36851,37267,MFLAFM_00175
1,37505,37655,MFLAFM_00180
1,37675,40104,MFLAFM_00185
1,40164,41018,MFLAFM_00190
1,41229,42044,MFLAFM_00195
1,42339,42764,MFLAFM_00200
1,43148,43852,MFLAFM_00205
1,43889,45553,MFLAFM_00210
1,45905,46075,MFLAFM_00215
1,46803,47819,MFLAFM_00220
1,48064,48693,MFLAFM_00225
1,48693,49340,MFLAFM_00230
1,49420,49524,MFLAFM_00235
1,51615,51839,MFLAFM_00240
1,52786,53733,MFLAFM_00245
1,53911,54309,MFLAFM_00250
1,54323,54760,MFLAFM_00255
1,54888,54957,MFLAFMFMJG_155
1,55000,55803,MFLAFM_00260
1,55808,56614,MFLAFM_00265
1,56604,57464,MFLAFM_00270
1,57461,58270,MFLAFM_00275
1,57577,57642,MFLAFM_00280
1,58619,58682,MFLAFM_00285
1,58808,59176,MFLAFM_00290
1,59193,60137,MFLAFM_00295
1,60212,60601,MFLAFM_00300
1,60625,60990,MFLAFM_00305
1,61013,61126,MFLAFM_00310
1,61158,61376,MFLAFM_00315
1,61569,62216,MFLAFM_00320
1,62233,63525,MFLAFM_00325
1,63525,63965,MFLAFM_00330
1,63982,64161,MFLAFM_00335
1,64178,64678,MFLAFM_00340
1,64699,65058,MFLAFM_00345
1,65089,65625,MFLAFM_00350
1,65650,66048,MFLAFM_00355
1,66080,66265,MFLAFM_00360
1,66288,66827,MFLAFM_00365
1,66854,67171,MFLAFM_00370
1,67207,67575,MFLAFM_00375
1,67607,67870,MFLAFM_00380
1,67894,68103,MFLAFM_00385
1,68093,68527,MFLAFM_00390
1,68530,69183,MFLAFM_00395
1,69207,69560,MFLAFM_00400
1,69589,69867,MFLAFM_00405
1,69934,70767,MFLAFM_00410
1,70800,71075,MFLAFM_00415
1,71075,71698,MFLAFM_00420
1,71725,72387,MFLAFM_00425
1,72415,72723,MFLAFM_00430
1,73080,73469,MFLAFM_00435
1,73660,74994,MFLAFM_00440
1,75108,77243,MFLAFM_00445
1,77418,78305,MFLAFM_00450
1,78486,79349,MFLAFM_00455
1,79604,79873,MFLAFM_00460
1,80004,80912,MFLAFM_00465
1,81045,81209,MFLAFM_00470
1,81454,81771,MFLAFM_00475
1,81955,85122,MFLAFM_00480
1,85239,86504,MFLAFM_00485
1,86893,87144,MFLAFM_00490
1,87136,87900,MFLAFM_00495
1,88062,88502,MFLAFM_00500
1,88495,89706,MFLAFM_00505
1,89808,90158,MFLAFM_00510
1,90411,90643,MFLAFM_00515
1,90735,91757,MFLAFM_00520
1,91777,92376,MFLAFM_00525
1,92383,92616,MFLAFM_00530
1,92622,93068,MFLAFM_00535
1,93082,93567,MFLAFM_00540
1,93564,94823,MFLAFM_00545
1,94886,95380,MFLAFM_00550
1,95382,95888,MFLAFM_00555
1,95919,96923,MFLAFM_00560
1,97093,97698,MFLAFM_00565
1,97699,98370,MFLAFM_00570
1,98384,99166,MFLAFM_00575
1,99455,100252,MFLAFM_00580
1,100424,101194,MFLAFM_00585
1,101271,101825,MFLAFM_00590
1,101946,102887,MFLAFM_00595
1,103285,104193,MFLAFM_00600
1,104407,105561,MFLAFM_00605
1,105778,106683,MFLAFM_00610
1,106943,107245,MFLAFM_00615
1,107259,107669,MFLAFM_00620
1,107666,109381,MFLAFM_00625
1,107817,108119,MFLAFM_00630
1,109394,109846,MFLAFM_00635
1,109839,110528,MFLAFM_00640
1,110541,111155,MFLAFM_00645
1,111155,111991,MFLAFM_00650
1,112044,112128,MFLAFM_00655
1,112180,112527,MFLAFM_00660
1,112955,113281,MFLAFM_00665
1,113345,114088,MFLAFM_00670
1,114114,116069,MFLAFM_00675
1,116679,117482,MFLAFM_00680
1,117483,117915,MFLAFM_00685
1,117916,119313,MFLAFM_00690
1,119411,120493,MFLAFM_00695
1,120741,121163,MFLAFM_00700
1,121400,121900,MFLAFM_00705
1,122261,123214,MFLAFM_00710
1,123306,124430,MFLAFM_00715
1,124741,125517,MFLAFM_00720
1,125539,125772,MFLAFM_00725
1,126000,126473,MFLAFM_00730
1,126473,129511,MFLAFM_00735
1,130030,130977,MFLAFM_00740
1,131110,131907,MFLAFM_00745
1,132001,132144,MFLAFM_00750
1,132292,132984,MFLAFM_00755
1,133009,133746,MFLAFM_00760
1,133795,134124,MFLAFM_00765
1,134569,135441,MFLAFM_00770
1,135828,137207,MFLAFM_00775
1,137487,137843,MFLAFM_00780
1,137840,138025,MFLAFM_00785
1,138121,138309,MFLAFM_00790
1,138323,138958,MFLAFM_00795
1,139033,139950,MFLAFM_00800
1,140218,140748,MFLAFM_00805
1,140814,142418,MFLAFM_00810
1,142748,143512,MFLAFM_00815
1,143570,144076,MFLAFM_00820
1,144243,145556,MFLAFM_00825
1,145633,145728,MFLAFMFMJG_151
1,145781,146350,MFLAFM_00830
1,146837,147718,MFLAFM_00835
1,147829,148950,MFLAFM_00840
1,149226,150464,MFLAFM_00845
1,150464,152125,MFLAFM_00850
1,152285,153169,MFLAFM_00855
1,153291,153710,MFLAFM_00860
1,153966,154901,MFLAFM_00865
1,155191,156450,MFLAFM_00870
1,156516,157202,MFLAFM_00875
