,c,g1,g2,v
2645,17,11,86,MFLAFM_13005
2646,17,103,178,MFLAFM_13010
2647,17,184,259,MFLAFM_13015
2648,17,263,344,MFLAFM_13020
2649,17,348,422,MFLAFM_13025
2650,17,433,521,MFLAFM_13030
2651,17,540,613,MFLAFM_13035
2652,17,623,696,MFLAFM_13040
2653,17,714,789,MFLAFM_13045
2654,17,811,884,MFLAFM_13050
2655,17,913,986,MFLAFM_13055
2656,17,996,1085,MFLAFM_13060
2657,17,1096,1171,MFLAFM_13065
2658,17,1210,1302,MFLAFM_13070
2659,17,1317,1390,MFLAFM_13075
2660,17,1412,1486,MFLAFM_13080
2661,17,1505,1577,MFLAFM_13085
2662,17,1585,1660,MFLAFM_13090
2663,17,1666,1746,MFLAFM_13095
2664,17,1762,1835,MFLAFM_13100
2665,17,1838,1910,MFLAFM_13105
2666,17,1922,1993,MFLAFM_13110
2667,17,1999,2072,MFLAFM_13115
2668,17,2080,2154,MFLAFM_13120
2669,17,2170,2244,MFLAFM_13125
2670,17,2258,2332,MFLAFM_13130
2671,17,2371,2454,MFLAFM_13135
